Star_name,Star_Distance,Star_Mass,Star_Radius,Dwarf_Star_name,Dwarf_Star_Radius (Jupiter Radius),Dwarf_Star_Mass (Jupiter Mass),Dwarf_Star_Distance (light years),Star_gravity
Sun,0.000015813,1.989e+30,695700000.0,SDSS J000013.54+255418.6 [de],0.1017353699999999,0.045820224,46.1,1.326663e+21
Sirius,0008.6,4.1769e+30,1189647000.0,2MASS J00040288-6410358,0.1675036899999999,0.018137172,192.0,2.7859923000000003e+21
Canopus,0310,2.9835e+31,49394700000.0,2MASS J00242463-0158201,0.11201167,0.075412452,37.7,1.9899945e+22
Alpha Centauri,0004.4,2.1879e+30,834840000.0,2MASS J00274197+0503417,0.1479787199999999,0.029592228,236.0,1.4593293000000002e+21
Arcturus,0037,2.1879e+30,18088200000.0,2MASSW J0030300-145033,0.1007077399999999,0.051547752,87.2,1.4593293000000002e+21
Vega,0025,4.3758e+30,1878390000.0000002,2MASS J00332386-1521309 [de],0.1469510899999999,0.027683052,131.0,2.9186586000000004e+21
Capella,0043,5.1714e+30,8348400000.0,2MASS J00345157+0523050,0.0965972199999999,0.040092696,31.0,3.4493238000000004e+21
Rigel,0860,4.574699999999999e+31,54890730000.00001,2MASS 0036+1821,0.0965972199999999,0.040092696,28.6,3.0513248999999996e+22
Procyon,0011.4,2.9835e+30,1321830000.0,2MASSW J0045214+163445,0.16647606,0.021955524,57.0,1.9899945000000002e+21
Betelgeuse,0640[1],3.978e+31,660915000000.0,WISEP J004701.06+680352.1 [fr],0.1335918999999999,0.011455056,40.0,2.653326e+22
Achernar,0144,1.33263e+31,6470010000.000001,2MASS J00501994-3322402 [de],0.0965972199999999,0.03818352,34.0,8.8886421e+21
Hadar,0390,2.08845e+31,5983020000.0,2MASS J00584253-0651239 [de],0.1469510899999999,0.027683052,96.0,1.39299615e+22
Altair,0017,3.5802e+30,1252260000.0,2MASSI J0103320+193536,0.1007077399999999,0.049638576,70.0,2.3879934000000003e+21
Acrux,0320,3.5801999999999996e+31,6191730000.0,SDSSp J010752.33+004156.1 [de],0.1007077399999999,0.049638576,51.0,2.3879933999999997e+22
Aldebaran,0065,2.9835e+30,30610800000.0,2MASSI J0117474-340325 [de],0.16647606,0.01909176,163.0,1.9899945e+21
Antares,0600,2.3868e+31,473076000000.0,2MASS J01415823-4633574 [de],0.16544843,0.01909176,130.0,1.5919956e+22
Spica,0260,2.2734269999999998e+31,5196879000.0,SDSS J015141.69+124429.6,0.0996801099999999,0.044865636,70.0,1.5163758089999999e+22
Pollux,0034,3.7790999999999997e+30,6122160000.000001,SDSS J020742.48+000056.2 [de],0.0996801099999999,0.044865636,111.0,2.5206597e+21
Fomalhaut,0025,3.7790999999999997e+30,1252260000.0,2MASS J02103857-3015313,0.15722739,0.01431882,101.0,2.5206597e+21
Deneb,"2,600",3.7791e+31,141227100000.0,2MASS J02340093-6442068,0.16647606,0.01909176,155.0,2.5206597e+22
Mimosa,0350,3.1824e+31,5843880000.0,2MASS J02411151-0326587 [de],0.1448958299999999,0.025773876,152.0,2.1226608e+22
Regulus,0077,7.558199999999999e+30,2156670000.0,2MASS J02431371−2453298,0.1017353699999999,0.031501404,35.0,5.0413194e+21
Adhara,0430,2.48625e+31,9739800000.0,LP 771-21,0.11098404,0.074457864,53.0,1.6583287500000002e+22
Shaula,0700,2.88405e+31,6122160000.000001,Teegarden's star,0.1305090099999999,0.07636704,12.578,1.92366135e+22
Castor,0052,5.5692e+30,1669680000.0,2MASS J02535980+3206373,0.1952496999999999,0.06204822,184.0,3.7146564000000005e+21
Gacrux,0088,2.9835e+30,58438800000.0,WISE J0254+0223,0.1952496999999999,0.06204822,24.0,1.9899945e+21
Bellatrix,0240,1.7105399999999998e+31,4035060000.0,DEN 0255-4700,0.0996801099999999,0.07636704,16.2,1.1409301799999998e+22
Elnath,0130,9.945e+30,2921940000.0,2MASS J03185403-3421292 [de],0.0996801099999999,0.046774812,45.0,6.633315e+21
Miaplacidus,0110,6.9615e+30,4730760000.0,2MASS J03205965+1854233,0.1181774499999999,0.084003744,47.0,4.6433205e+21
Alnilam,"2,000",6.3648e+31,29219400000.0,2MASS J03231002-4631237,0.17058658,0.021955524,192.0,4.2453216e+22
Gamma Velorum,"01,100",1.7900999999999998e+31,4174200000.0,SDSS J032553.17+042540.1,0.0976248499999999,0.04295646,59.0,1.1939966999999998e+22
Alnair,0101,7.956e+30,2365380000.0,2MASS J03264225-2102057 [de],0.1335918999999999,0.017182584,80.0,5.306652e+21
Alioth,0081,5.7681e+30,2921940000.0,2MASS J03284265+2302051 [de],0.1007077399999999,0.051547752,98.0,3.8473227e+21
Alnitak,01050,6.5637e+31,13914000000.0,2MASS J03341218-4953322,0.10687352,0.069684924,27.0,4.3779879000000004e+22
Dubhe,0120,8.453249999999999e+30,20871000000.0,LP 944-20,0.1469510899999999,0.069684924,20.9,5.63831775e+21
Mirfak,0590,1.6906499999999999e+31,47307600000.0,2MASP J0345432+254023,0.10790115,0.070639512,88.0,1.12766355e+22
Wezen,"1,600",3.3812999999999997e+31,139140000000.0,Teide 1,0.3884441399999999,0.05250234,380.0,2.2553271e+22
Sargas,0270,1.13373e+31,18088200000.0,2MASS J03510004-0052452,0.1305090099999999,0.097367976,48.0,7.5619791e+21
Kaus Australis,0140,6.9615e+30,4730760000.0,2MASS J03552337+1133437,0.13564716,0.01909176,29.8,4.6433205e+21
Avior,0630,1.7900999999999998e+31,90441000000.0,2MASS J04151954−0935066,0.0976248499999999,0.02863764,18.6,1.1939966999999998e+22
Alkaid,0104,1.2132899999999998e+31,2365380000.0,2MASS J04285096-2253227 [de],0.11201167,0.07636704,85.0,8.092644299999998e+21
Menkalinan,081,4.75371e+30,1927089000.0,2MASS J04351612-1606574,0.1294813799999999,0.0954588,34.0,3.17072457e+21
Atria,0390,1.3923e+31,64004400000.0,2MASS J04362788-4114465,0.2024431099999999,0.037228932,142.0,9.286640999999999e+21
Alhena,0109,5.5692e+30,2295810000.0,2MASS J04390101-2353083 [de],0.0996801099999999,0.045820224,29.5,3.7146564e+21
Peacock,0180,1.17351e+31,3339360000.0,2MASS J04433764+0002040,0.1829181399999999,0.021000936,82.0,7.8273117e+21
Alsephina[2],0080,4.7735999999999997e+30,2017530000.0,2MASS J04455387-3048204 [de],0.102763,0.061093632,42.0,3.1839912e+21
Mirzam,0500,2.68515e+31,6957000000.0,2MASS J04510093-3402150 [de],0.10687352,0.068730336,69.0,1.7909950499999996e+22
Polaris,0430,1.07406e+31,27132300000.0,2MASS J05002100+0330501 [de],0.102763,0.061093632,44.0,7.163980200000001e+21
Alphard,0180,5.967e+30,34785000000.0,2MASS J05012406-0010452 [de],0.1418129399999999,0.020046348,64.0,3.979989e+21
Mintaka,01200,4.7736e+31,11479050000.0,2MASS J05160945-0445499 [de],0.0996801099999999,0.044865636,73.0,3.1839912000000004e+22
Scheat,0196,4.1769e+30,66091500000.0,2MASS J0523−1403,0.10379063,0.064911984,40.0,2.7859923000000003e+21
Almaaz,0653,2.9835e+31,97398000000.0,SDSS J053951.99-005902.0,0.10379063,0.058229868,41.62,1.9899945e+22
Rasalgethi,0360,5.5692e+30,194796000000.0,LSR 0602+3910 [de],0.1448958299999999,0.026728464,34.6,3.7146564000000005e+21
Tau Ceti,011.9,1.557387e+30,621260100.0,2MASS J06085283-2753583,0.15517213,0.036274344,102.0,1.0387771290000002e+21
Delta Pavonis,019.92,1.9710989999999998e+30,848754000.0,2MASS J06244595-4521548 [de],0.1017353699999999,0.053456928,39.0,1.3147230329999998e+21
Ran,010.48,1.6309799999999997e+30,514818000.0,2MASS J06411840-4322329 [de],0.10379063,0.063957396,65.0,1.0878636599999998e+21
V382 Carinae,"08,900",3.978e+31,337414500000.0,DENIS-P J0652197-253450 [de],0.10790115,0.0715941,51.0,2.653326e+22
Delta Cephei,0887,8.950499999999999e+30,44.5,UGPS J072227.51-054031.2,0.1007077399999999,0.024819288,13.4,5.969983499999999e+21
Mu Cephei,"06,000",3.8188799999999997e+31,676220400000.0,2MASSI J0727182+171001 [de],0.0965972199999999,0.039138108,29.6,2.5471929600000003e+22
Titawin,044.25,2.52603e+30,1029636000.0,2MASS J07290002-3954043 [de],0.0965972199999999,0.035319756,25.8,1.6848620100000002e+21
P Cygni,"05,545",5.967e+31,76,DENIS-P J0751164-253043 [de],0.10584589,0.067775748,55.0,3.979989e+22
61 Cygni,011.41,1.3923e+30,0.665,2MASS J08251968+2115521 [de],0.1007077399999999,0.049638576,35.0,9.286641e+20
Polaris Australis,0281,1.59,2601918000.0,LHS 2021,0.1181774499999999,0.084003744,55.0,1.06053e-09
R Coronae Borealis,"04,566",1.6906499999999997e+30,59134500000.0,SDSS J083048.80+012831.1 [de],0.0986524799999999,0.043911048,77.0,1.1276635499999999e+21
54 Piscium,036.1,1.51164e+30,653958000.0,2MASSI J0835425-081923 [de],0.102763,0.059184456,23.53,1.0082638800000001e+21
Mira,0300,2.3867999999999998e+30,257409000000.0,2MASSI J0847287-153237 [de],0.102763,0.061093632,43.0,1.5919956e+21
